team,player,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
Atlanta Hawks,CJ McCollum,30666666,,,,,
Atlanta Hawks,Jalen Johnson,30000000,30000000.0,30000000.0,30000000.0,30000000.0,
Atlanta Hawks,Jonathan Kuminga,22500000,24300000.0,,,,
Atlanta Hawks,Nickeil Alexander-Walker,15161800,14403710.0,15161800.0,15919890.0,,
Atlanta Hawks,Onyeka Okongwu,15000000,16120000.0,16880000.0,,,
Atlanta Hawks,Corey Kispert,13975000,13975000.0,13050000.0,13050000.0,,
Atlanta Hawks,Zaccharie Risacher,13197720,13826040.0,17434636.0,24408490.0,,
Atlanta Hawks,Gabe Vincent,11500000,,,,,
Atlanta Hawks,Buddy Hield,9219512,9658536.0,10097560.0,,,
Atlanta Hawks,Dyson Daniels,7707709,25000000.0,25000000.0,25000000.0,25000000.0,
Atlanta Hawks,Asa Newell,3237480,3399480.0,3560880.0,6042814.0,9396576.0,
Atlanta Hawks,Jock Landale,2461463,,,,,
Atlanta Hawks,Duop Reath,2221677,,,,,
Atlanta Hawks,Mouhamed Gueye,2221677,2406205.0,,,,
Atlanta Hawks,N'Faly Dante,2048494,,,,,
Atlanta Hawks,Keaton Wallace,2048494,,,,,
Atlanta Hawks,Nikola Djurisic,1272870,,,,,
Atlanta Hawks,Caleb Houstan,1117089,,,,,
Atlanta Hawks,RayJ Dennis,331365,679042.0,,,,
Atlanta Hawks,Eli Ndiaye,318218,,,,,
Atlanta Hawks,Christian Koloko,279891,,,,,
Atlanta Hawks,Jacob Toppin,180160,,,,,
Atlanta Hawks,Keshon Gilbert,128686,,,,,
Atlanta Hawks,David Roddy,85300,,,,,
Atlanta Hawks,Malik Williams,43870,,,,,
Boston Celtics,Jayson Tatum,54126450,58456566.0,62786682.0,67116798.0,71446914.0,
Boston Celtics,Jaylen Brown,53142264,57078728.0,61015192.0,64951656.0,,
Boston Celtics,Derrick White,28100000,30348000.0,32596000.0,34844000.0,,
Boston Celtics,Nikola Vucevic,21481481,,,,,
Boston Celtics,Sam Hauser,10044644,10848215.0,11651785.0,12455356.0,,
Boston Celtics,Payton Pritchard,7232143,7767857.0,8303571.0,,,
Boston Celtics,Hugo Gonzalez,2783880,2923560.0,3062640.0,5528065.0,7739291.0,
Boston Celtics,Baylor Scheierman,2619000,2744040.0,4952992.0,7924787.0,,
Boston Celtics,Luka Garza,2461463,2801346.0,,,,
Boston Celtics,Neemias Queta,2349578,2667944.0,,,,
Boston Celtics,Jordan Walsh,2221677,2406205.0,,,,
Boston Celtics,John Tonje,847925,,,,,
Boston Celtics,Amari Williams,837589,2150917.0,,,,
Boston Celtics,Ron Harper Jr,636435,,,,,
Boston Celtics,Max Shulga,636435,,,,,
Boston Celtics,Dalano Banton,141463,,,,,
Boston Celtics,RJ Luis Jr,85300,,,,,
Brooklyn Nets,Michael Porter,38333050,40806150.0,,,,
Brooklyn Nets,Nicolas Claxton,25352272,23147727.0,20943184.0,,,
Brooklyn Nets,Terance Mann,15500000,15500000.0,16000000.0,,,
Brooklyn Nets,Egor Demin,6889200,7233720.0,7578240.0,9639522.0,13958028.0,
Brooklyn Nets,Ochai Agbaji,6383525,8879483.0,,,,
Brooklyn Nets,Day'Ron Sharpe,6250000,6250000.0,,,,
Brooklyn Nets,Ziaire Williams,6250000,6250000.0,,,,
Brooklyn Nets,Cam Thomas,5993172,,,,,
Brooklyn Nets,Haywood Highsmith,5616000,,,,,
Brooklyn Nets,Kobe Bufkin,4503668,,,,,
Brooklyn Nets,Nolan Traore,3811560,4002000.0,4193040.0,6457282.0,9853813.0,
Brooklyn Nets,Noah Clowney,3398406,5413661.0,8342451.0,,,
Brooklyn Nets,Drake Powell,3372240,3540600.0,3709320.0,6101832.0,9445636.0,
Brooklyn Nets,Dariq Whitehead,3262560,,,,,
Brooklyn Nets,Ben Saraf,2884560,3028560.0,3172920.0,5720776.0,9015943.0,
Brooklyn Nets,Danny Wolf,2801280,2941440.0,3081840.0,5559640.0,8800911.0,
Brooklyn Nets,Josh Minott,2378870,2584539.0,,,,
Brooklyn Nets,Hunter Tyson,2221677,,,,,
Brooklyn Nets,Jalen Wilson,2221677,,,,,
Brooklyn Nets,Tyrese Martin,2191897,,,,,
Brooklyn Nets,EJ Liddell,636435,,,,,
Brooklyn Nets,Tyson Etienne,636435,,,,,
Brooklyn Nets,Chaney Johnson,347451,,,,,
Brooklyn Nets,Maxwell Lewis,100000,,,,,
Brooklyn Nets,Yuri Collins,85300,,,,,
Brooklyn Nets,David Muoka,85300,,,,,
Brooklyn Nets,Grant Nelson,73153,,,,,
Charlotte Hornets,LaMelo Ball,37958760,40770520.0,43582280.0,46394040.0,,
Charlotte Hornets,Miles Bridges,25000000,22826087.0,,,,
Charlotte Hornets,Josh Green,13666667,14679012.0,,,,
Charlotte Hornets,Grant Williams,13645500,14265750.0,,,,
Charlotte Hornets,Coby White,12888889,,,,,
Charlotte Hornets,Brandon Miller,11968400,15104121.0,21221290.0,,,
Charlotte Hornets,Mike Conley,10774038,,,,,
Charlotte Hornets,Pat Connaughton,10739683,3815861.0,,,,
Charlotte Hornets,Kon Knueppel,10015680,10516560.0,11017560.0,13937214.0,19776907.0,
Charlotte Hornets,Tre Mann,8000000,8000000.0,8000000.0,,,
Charlotte Hornets,Tidjane Salaun,7863240,8237880.0,10445632.0,14979036.0,,
Charlotte Hornets,Malaki Branham,4962033,,,,,
Charlotte Hornets,Spencer Dinwiddie,3634153,,,,,
Charlotte Hornets,Liam McNeeley,2763960,2902080.0,3040320.0,5487778.0,8780445.0,
Charlotte Hornets,Nick Smith,2710680,,,,,
Charlotte Hornets,Xavier Tillman,2546675,,,,,
Charlotte Hornets,Sion James,2296274,2411090.0,2525901.0,2735698.0,,
Charlotte Hornets,Ryan Kalkbrenner,2296274,2411090.0,2525901.0,2735698.0,,
Charlotte Hornets,Moussa Diabate,2270735,2461462.0,,,,
Charlotte Hornets,Antonio Reeves,636435,,,,,
Charlotte Hornets,KJ Simpson,636434,,,,,
Charlotte Hornets,PJ Hall,353885,679042.0,,,,
Charlotte Hornets,Tosan Evbuomwan,212331,679042.0,,,,
Charlotte Hornets,Drew Peterson,209114,,,,,
Chicago Bulls,Anfernee Simons,27678571,,,,,
Chicago Bulls,Josh Giddey,25000000,25000000.0,25000000.0,25000000.0,,
Chicago Bulls,Collin Sexton,18975000,,,,,
Chicago Bulls,Zach Collins,18080496,,,,,
Chicago Bulls,Patrick Williams,18000000,18000000.0,18000000.0,18000000.0,,
Chicago Bulls,Isaac Okoro,11000000,11814814.0,,,,
Chicago Bulls,Jaden Ivey,10107163,13402098.0,,,,
Chicago Bulls,Jalen Smith,9000000,9428571.0,,,,
Chicago Bulls,Tre Jones,8000000,8000000.0,8000000.0,,,
Chicago Bulls,Jevon Carter,6809524,,,,,
Chicago Bulls,Rob Dillingham,6576120,6889320.0,8763215.0,12689135.0,,
Chicago Bulls,Guerschon Yabusele,5500000,,,,,
Chicago Bulls,Matas Buzelis,5455560,5715360.0,7584283.0,11141311.0,,
Chicago Bulls,Noa Essengue,5429520,5701200.0,5972760.0,8230464.0,12148165.0,
Chicago Bulls,Nick Richards,5000000,,,,,
Chicago Bulls,Leonard Miller,2221677,2406205.0,,,,
Chicago Bulls,Lachlan Olbrich,636435,,,,,
Chicago Bulls,Yuki Kawamura,312062,,,,,
Chicago Bulls,Trentyn Flowers,250937,,,,,
Chicago Bulls,Mac McClung,215548,,,,,
Cleveland Cavaliers,Donovan Mitchell,46394100,50105628.0,53817156.0,,,
Cleveland Cavaliers,Evan Mobley,46394100,50105628.0,53817156.0,57528684.0,61240212.0,
Cleveland Cavaliers,James Harden,39182693,42317307.0,,,,
Cleveland Cavaliers,Jarrett Allen,20000000,28000000.0,30240000.0,32480000.0,,
Cleveland Cavaliers,Max Strus,15936452,16660836.0,,,,
Cleveland Cavaliers,Dennis Schroeder,14104000,14809200.0,15514400.0,,,
Cleveland Cavaliers,Sam Merrill,8482144,9160715.0,9839285.0,10517856.0,,
Cleveland Cavaliers,Dean Wade,6623456,,,,,
Cleveland Cavaliers,Larry Nance Jr,3634153,,,,,
Cleveland Cavaliers,Jaylon Tyson,3492480,3658560.0,5641500.0,8648419.0,,
Cleveland Cavaliers,Thomas Bryant,3287409,,,,,
Cleveland Cavaliers,Keon Ellis,2301587,,,,,
Cleveland Cavaliers,Craig Porter,2221677,2406205.0,,,,
Cleveland Cavaliers,Tyrese Proctor,1272870,2150917.0,2525901.0,2735698.0,,
Cleveland Cavaliers,Nae'qwan Tomlin,1084904,2411090.0,,,,
Cleveland Cavaliers,Luke Travers,636435,,,,,
Cleveland Cavaliers,Emanuel Miller,636434,,,,,
Cleveland Cavaliers,Chris Livingston,527611,,,,,
Cleveland Cavaliers,Ricky Rubio,424672,424672.0,,,,
Cleveland Cavaliers,Tristan Enaruna,241285,,,,,
Cleveland Cavaliers,Riley Minix,189811,679042.0,,,,
Cleveland Cavaliers,Darius Brown,167291,,,,,
Cleveland Cavaliers,Olivier Sarr,131903,,,,,
Dallas Mavericks,Kyrie Irving,36566002,39491282.0,42416562.0,,,
Dallas Mavericks,Khris Middleton,33345679,,,,,
Dallas Mavericks,Klay Thompson,16666667,17460317.0,,,,
Dallas Mavericks,Daniel Gafford,14386320,17263584.0,18126763.0,18989942.0,,
Dallas Mavericks,PJ Washington,14152174,19813044.0,21398088.0,22983132.0,24568176.0,
Dallas Mavericks,Cooper Flagg,13825920,14517480.0,15208680.0,19178146.0,26849405.0,
Dallas Mavericks,Caleb Martin,9594044,10001494.0,9731351.0,,,
Dallas Mavericks,Naji Marshall,9000000,9428571.0,,,,
Dallas Mavericks,Max Christie,7714286,8285714.0,8857143.0,,,
Dallas Mavericks,Tyus Jones,7000000,,,,,
Dallas Mavericks,Dereck Lively,5253191,7238897.0,10684611.0,,,
Dallas Mavericks,Dwight Powell,4000000,,,,,
Dallas Mavericks,AJ Johnson,3090480,3237120.0,5493393.0,8542226.0,,
Dallas Mavericks,Marvin Bagley,3080921,,,,,
Dallas Mavericks,Brandon Williams,2270735,,,,,
Dallas Mavericks,JaVale McGee,2208856,2208856.0,2208856.0,,,
Dallas Mavericks,Olivier-Maxence Prosper,1002360,1002360.0,1002360.0,,,
Dallas Mavericks,Ryan Nembhard,743320,2150917.0,,,,
Dallas Mavericks,Moussa Cisse,636435,,,,,
Dallas Mavericks,Miles Kelly,636435,,,,,
Dallas Mavericks,Tyler Smith,141554,679042.0,,,,
Dallas Mavericks,John Poulakidas,141554,679042.0,,,,
Dallas Mavericks,Jeremiah Robinson-Earl,141463,,,,,
Denver Nuggets,Nikola Jokic,55224526,59033114.0,62841702.0,,,
Denver Nuggets,Jamal Murray,46394100,50105628.0,53817156.0,57528684.0,,
Denver Nuggets,Aaron Gordon,22841455,31978037.0,34536280.0,37094523.0,,
Denver Nuggets,Cameron Johnson,21057065,23062500.0,,,,
Denver Nuggets,Jonas Valanciunas,10395000,10000000.0,,,,
Denver Nuggets,Zeke Nnaji,8177778,7466667.0,7466667.0,,,
Denver Nuggets,Christian Braun,4921797,21551726.0,23275863.0,25000000.0,26724137.0,28448274.0
Denver Nuggets,Peyton Watson,4356476,6534714.0,,,,
Denver Nuggets,Tim Hardaway Jr,3634153,,,,,
Denver Nuggets,DaRon Holmes,3218760,3372120.0,5547137.0,8586968.0,,
Denver Nuggets,Bruce Brown,3080921,,,,,
Denver Nuggets,Julian Strawther,2674148,4826838.0,7722940.0,,,
Denver Nuggets,Jalen Pickett,2221677,2406205.0,,,,
Denver Nuggets,Spencer Jones,1016457,,,,,
Denver Nuggets,Tyus Jones,814552,,,,,
Denver Nuggets,Curtis Jones,636435,,,,,
Denver Nuggets,Tamar Bates,636435,,,,,
Denver Nuggets,KJ Simpson,170508,679042.0,,,,
Denver Nuggets,David Roddy,128686,,,,,
Detroit Pistons,Cade Cunningham,46394100,50105628.0,53817156.0,57528684.0,61240212.0,
Detroit Pistons,Tobias Harris,26634146,,,,,
Detroit Pistons,Kevin Huerter,17991071,,,,,
Detroit Pistons,Duncan Robinson,16834692,15992957.0,15151222.0,,,
Detroit Pistons,Isaiah Stewart,15000000,15000000.0,15000000.0,,,
Detroit Pistons,Caris LeVert,14104000,14809200.0,,,,
Detroit Pistons,Ausar Thompson,8775162,11118130.0,15854453.0,,,
Detroit Pistons,Ron Holland,8657280,9069600.0,11491183.0,16386426.0,,
Detroit Pistons,Jalen Duren,6483144,8966189.0,,,,
Detroit Pistons,Dario Saric,5426400,,,,,
Detroit Pistons,Paul Reed,5335894,5602689.0,,,,
Detroit Pistons,Daniss Jenkins,4169843,4000000.0,,,,
Detroit Pistons,Marcus Sasser,2886431,5198462.0,8156386.0,,,
Detroit Pistons,Javonte Green,2874436,,,,,
Detroit Pistons,Isaac Jones,2158057,679042.0,,,,
Detroit Pistons,Bobi Klintman,1955377,2296271.0,2486995.0,,,
Detroit Pistons,Chaz Lanier,1372870,2150917.0,2525901.0,2735698.0,,
Detroit Pistons,Tolu Smith,636434,,,,,
Detroit Pistons,Wendell Moore,495439,,,,,
Detroit Pistons,Colby Jones,85300,,,,,
Golden State Warriors,Stephen Curry,59606817,62587158.0,,,,
Golden State Warriors,Jimmy Butler,54126450,56832773.0,,,,
Golden State Warriors,Kristaps Porzingis,30731707,,,,,
Golden State Warriors,Draymond Green,25892857,27678571.0,,,,
Golden State Warriors,Moses Moody,11574075,12500000.0,13425925.0,,,
Golden State Warriors,Al Horford,5685000,5969250.0,,,,
Golden State Warriors,Brandin Podziemski,3687960,5679458.0,8666111.0,,,
Golden State Warriors,Gary Payton II,3303774,,,,,
Golden State Warriors,De'Anthony Melton,3080921,3451779.0,,,,
Golden State Warriors,Seth Curry,2777830,,,,,
Golden State Warriors,Gui Santos,2221677,4629630.0,5000000.0,5370370.0,,
Golden State Warriors,Quinten Post,1955377,,,,,
Golden State Warriors,Will Richard,1272870,2150917.0,2525901.0,2735698.0,,
Golden State Warriors,Pat Spencer,1211689,,,,,
Golden State Warriors,LJ Cryer,424662,679042.0,,,,
Golden State Warriors,Malevy Leons,405359,679042.0,,,,
Golden State Warriors,Jeenathan Williams,176943,,,,,
Golden State Warriors,Alex Toohey,157640,,,,,
Golden State Warriors,Jackson Rowe,135120,,,,,
Houston Rockets,Kevin Durant,54708608,43902439.0,46097561.0,,,
Houston Rockets,Alperen Sengun,33944954,35642202.0,37339450.0,39036697.0,39036697.0,
Houston Rockets,Fred VanVleet,25000000,25000000.0,,,,
Houston Rockets,Steven Adams,14130434,13000000.0,11869566.0,,,
Houston Rockets,Dorian Finney-Smith,12700000,13335000.0,13335000.0,13335000.0,,
Houston Rockets,Jabari Smith,12350392,23643411.0,21751940.0,23643411.0,25534883.0,27426355.0
Houston Rockets,Reed Sheppard,10603560,11108880.0,14041624.0,19826773.0,,
Houston Rockets,Amen Thompson,9690212,12258119.0,17394270.0,,,
Houston Rockets,Clint Capela,6700000,7035000.0,7370000.0,,,
Houston Rockets,Tari Eason,5675766,8014181.0,,,,
Houston Rockets,Jeff Green,3634153,,,,,
Houston Rockets,Josh Okogie,3080921,,,,,
Houston Rockets,Aaron Holiday,3080921,,,,,
Houston Rockets,Jae'Sean Tate,2667947,,,,,
Houston Rockets,JD Davison,636435,,,,,
Houston Rockets,Isaiah Crawford,636435,,,,,
Houston Rockets,Tristen Newton,321714,679042.0,,,,
Houston Rockets,Kevon Harris,138337,,,,,
Houston Rockets,Tyler Smith,93589,85300.0,,,,
Indiana Pacers,Pascal Siakam,45550512,48924624.0,52298736.0,,,
Indiana Pacers,Tyrese Haliburton,45550512,48924624.0,52298736.0,55672848.0,,
Indiana Pacers,Ivica Zubac,18102000,19550160.0,20998320.0,,,
Indiana Pacers,Andrew Nembhard,18102000,19550160.0,20998320.0,,,
Indiana Pacers,Obi Toppin,14000000,15000000.0,16025000.0,,,
Indiana Pacers,Aaron Nesmith,11000000,11000000.0,19418000.0,20971440.0,,
Indiana Pacers,TJ McConnell,10200000,11000000.0,11800000.0,11800000.0,,
Indiana Pacers,Jarace Walker,6665406,8478396.0,12276717.0,,,
Indiana Pacers,Ben Sheppard,2790720,5031668.0,7930389.0,,,
Indiana Pacers,Kobe Brown,2654692,,,,,
Indiana Pacers,Jay Huff,2349578,2667944.0,3005085.0,,,
Indiana Pacers,Johnny Furphy,1955377,2296271.0,2486995.0,,,
Indiana Pacers,Tony Bradley,1689353,,,,,
Indiana Pacers,Micah Potter,1527805,2801346.0,,,,
Indiana Pacers,Kam Jones,1272870,2150917.0,2525901.0,2735698.0,,
Indiana Pacers,Quenton Jackson,1022998,2584539.0,2934742.0,,,
Indiana Pacers,James Wiseman,1000000,,,,,
Indiana Pacers,Taelon Peter,636434,679042.0,,,,
Indiana Pacers,Jeremiah Robinson-Earl,608292,,,,,
Indiana Pacers,Garrison Mathews,462553,,,,,
Indiana Pacers,Ethan Thompson,431096,679042.0,,,,
Indiana Pacers,Monte Morris,321184,,,,,
Indiana Pacers,Mac McClung,177731,,,,,
Indiana Pacers,Cody Martin,165197,,,,,
Indiana Pacers,James Wiseman,153330,,,,,
Indiana Pacers,Jalen Slawson,141554,,,,,
Indiana Pacers,RayJ Dennis,131903,,,,,
Indiana Pacers,Gabe McGlothan,73153,,,,,
LA Clippers,Kawhi Leonard,50000000,50300000.0,,,,
LA Clippers,Darius Garland,39446090,42166510.0,44886930.0,,,
LA Clippers,John Collins,26580000,,,,,
LA Clippers,Bogdan Bogdanovic,16020000,16020000.0,,,,
LA Clippers,Derrick Jones,10000000,10476190.0,,,,
LA Clippers,Bennedict Mathurin,9187573,12256222.0,,,,
LA Clippers,Brook Lopez,8750000,9187500.0,,,,
LA Clippers,Isaiah Jackson,7600000,7000000.0,6400000.0,,,
LA Clippers,Nicolas Batum,5601600,5881680.0,,,,
LA Clippers,Kris Dunn,5426400,5684800.0,,,,
LA Clippers,Bradley Beal,5354000,5621700.0,,,,
LA Clippers,Yanic Niederhauser,2743800,2880960.0,3018480.0,5448356.0,8717370.0,
LA Clippers,Cam Christie,1955377,2296271.0,2486995.0,,,
LA Clippers,Jordan Miller,1101910,2497812.0,,,,
LA Clippers,Kobe Sanders,829383,2150917.0,,,,
LA Clippers,TyTy Washington,344234,,,,,
LA Clippers,Patrick Baldwin,222017,,,,,
LA Clippers,Sean Pedulla,170508,679042.0,,,,
LA Clippers,Norchad Omier,167291,,,,,
LA Clippers,Jahmyl Telfort,144771,,,,,
LA Clippers,Dalano Banton,141463,,,,,
LA Clippers,Seth Lundy,85300,,,,,
LA Clippers,RayJ Dennis,67267,,,,,
Los Angeles Lakers,LeBron James,52627153,,,,,
Los Angeles Lakers,Luka Doncic,45999660,51033600.0,55116288.0,59198976.0,,
Los Angeles Lakers,Rui Hachimura,18259259,,,,,
Los Angeles Lakers,Austin Reaves,13937574,14898786.0,,,,
Los Angeles Lakers,Jarred Vanderbilt,11571429,12428571.0,13285714.0,,,
Los Angeles Lakers,Luke Kennard,11000000,,,,,
Los Angeles Lakers,Maxi Kleber,11000000,,,,,
Los Angeles Lakers,Deandre Ayton,8104000,8104000.0,,,,
Los Angeles Lakers,Jake LaRavia,6000000,6000000.0,,,,
Los Angeles Lakers,Marcus Smart,5134000,5390700.0,,,,
Los Angeles Lakers,Dalton Knecht,4010160,4201080.0,6452859.0,9756722.0,,
Los Angeles Lakers,Jaxson Hayes,3449323,,,,,
Los Angeles Lakers,Bronny James,1955377,2296271.0,2486995.0,,,
Los Angeles Lakers,Adou Thiero,1272870,2150917.0,2525901.0,,,
Los Angeles Lakers,Kobe Bufkin,976577,2497812.0,,,,
Los Angeles Lakers,Nick Smith,636435,,,,,
Los Angeles Lakers,Chris Manon,636435,,,,,
Los Angeles Lakers,Drew Timme,447182,,,,,
Los Angeles Lakers,Christian Koloko,115817,,,,,
Memphis Grizzlies,Ja Morant,39446090,42166510.0,44886930.0,,,
Memphis Grizzlies,Kentavious Caldwell-Pope,21621500,21621500.0,,,,
Memphis Grizzlies,Santiago Aldama,18485916,17007043.0,17007043.0,,,
Memphis Grizzlies,Brandon Clarke,12500000,12500000.0,,,,
Memphis Grizzlies,Ty Jerome,8781000,9220050.0,9659100.0,,,
Memphis Grizzlies,Kyle Anderson,8300531,,,,,
Memphis Grizzlies,Georges Niang,8200000,,,,,
Memphis Grizzlies,Taylor Hendricks,6127080,7805900.0,11357175.0,,,
Memphis Grizzlies,Zach Edey,6045000,6332760.0,8067936.0,11738846.0,,
Memphis Grizzlies,Cedric Coward,5715120,6001080.0,6286920.0,8342743.0,12255490.0,
Memphis Grizzlies,Walter Clayton Jr,3991320,4190520.0,4390320.0,6752312.0,10256762.0,
Memphis Grizzlies,Cole Anthony,3700000,3700000.0,3700000.0,,,
Memphis Grizzlies,Eric Gordon,3634153,,,,,
Memphis Grizzlies,Cam Spencer,2537989,2411090.0,2616754.0,2830685.0,,
Memphis Grizzlies,Scotty Pippen Jr,2270735,2461462.0,2789215.0,,,
Memphis Grizzlies,GG Jackson,2221677,2406205.0,,,,
Memphis Grizzlies,Jaylen Wells,1955377,2296271.0,2486995.0,,,
Memphis Grizzlies,Olivier-Maxence Prosper,962193,2497812.0,,,,
Memphis Grizzlies,Taj Gibson,960753,3800000.0,,,,
Memphis Grizzlies,Javon Small,636435,,,,,
Memphis Grizzlies,Jahmai Mashack,476136,679042.0,,,,
Memphis Grizzlies,Mamadi Diakite,464050,464050.0,,,,
Memphis Grizzlies,PJ Hall,318218,,,,,
Memphis Grizzlies,Christian Koloko,273434,,,,,
Memphis Grizzlies,Rayan Rupert,260656,,,,,
Memphis Grizzlies,Charles Bassey,141463,,,,,
Memphis Grizzlies,Kobe Bufkin,131970,,,,,
Memphis Grizzlies,Zyon Pullin,85300,,,,,
Memphis Grizzlies,Tyler Burton,73153,,,,,
